id,cname,continent
1026,Unincorp.MurrayMallee,Australia
1027,Unincorp.Pirie,Australia
1028,Unincorp.Riverland,Australia
1029,Unincorp.WestCoast,Australia
1030,Unincorp.Western,Australia
1031,Unincorp.Whyalla,Australia
1032,Unincorp.Yorke,Australia
1033,Unley-East,Australia
1034,Unley-West,Australia
1035,VictorHarbor,Australia
1036,Wakefield,Australia
1037,Walkerville,Australia
1038,WattleRange-West,Australia
1039,WattleRange-East,Australia
1040,WestTorrens-East,Australia
1041,WestTorrens-West,Australia
1042,Whyalla,Australia
1043,Yankalilla,Australia
1044,YorkePeninsula-North,Australia
1045,YorkePeninsula-South,Australia
1046,BreakO'Day,Australia
1047,Brighton,Australia
1048,Burnie-PtA,Australia
1049,Burnie-PtB,Australia
1050,CentralCoast-PtA,Australia
1051,CentralCoast-PtB,Australia
1052,CentralHighlands,Australia
1053,CircularHead,Australia
1054,Clarence,Australia
1055,DerwentValley,Australia
1056,Devonport,Australia
1057,Dorset,Australia
1058,Flinders,Australia
1059,GeorgeTown-PtA,Australia
1060,GeorgeTown-PtB,Australia
1061,Glamorgan-SpringBay,Australia
1062,Glenorchy,Australia
1063,Hobart,Australia
1064,HuonValley,Australia
1065,Kentish,Australia
1066,KingIsland,Australia
1067,Kingborough,Australia
1068,Latrobe-PtA,Australia
1069,Latrobe-PtB,Australia
1070,Launceston-PtB,Australia
1071,Launceston-PtC,Australia
1072,MeanderValley,Australia
1073,NorthernMidlands-PtA,Australia
1074,NorthernMidlands-PtB,Australia
1075,Sorell,Australia
1076,SouthernMidlands,Australia
1077,Tasman,Australia
1078,Waratah/Wynyard-PtA,Australia
1079,Waratah/Wynyard-PtB,Australia
1080,WestCoast,Australia
1081,WestTamar-PtA,Australia
1082,WestTamar-PtB,Australia
1083,Unknown-1,Australia
1084,Alpine-East,Australia
1085,Alpine-West,Australia
1086,Ararat,Australia
1087,Ballarat-Central,Australia
1088,Ballarat-InnerNorth,Australia
1089,Ballarat-South,Australia
1090,Ballarat-North,Australia
1091,Banyule-Heidelberg,Australia
1092,Banyule-North,Australia
1093,BassCoast-PhillipIs.,Australia
1094,BassCoastBal,Australia
1095,BawBaw-PtA,Australia
1096,BawBaw-PtBWest,Australia
1097,BawBaw-PtBEast,Australia
1098,Bayside-Brighton,Australia
1099,Bayside-South,Australia
1100,Bellarine-Inner,Australia
1101,BenallaBal,Australia
1102,Benalla-Benalla,Australia
1103,Boroondara-CamberwellN.,Australia
1104,Boroondara-CamberwellS.,Australia
1105,Boroondara-Hawthorn,Australia
1106,Boroondara-Kew,Australia
1107,Brimbank-Keilor,Australia
1108,Brimbank-Sunshine,Australia
1109,Buloke-North,Australia
1110,Buloke-South,Australia
1111,C.Goldfields-M'borough,Australia
1112,C.GoldfieldsBal,Australia
1113,Campaspe-Echuca,Australia
1114,Campaspe-Kyabram,Australia
1115,Campaspe-Rochester,Australia
1116,Campaspe-South,Australia
1117,Cardinia-South,Australia
1118,Cardinia-North,Australia
1119,Cardinia-Pakenham,Australia
1120,Casey-Berwick,Australia
1121,Casey-Cranbourne,Australia
1122,Casey-Hallam,Australia
1123,Casey-South,Australia
1124,Colac-Otway-Colac,Australia
1125,Colac-Otway-North,Australia
1126,Colac-Otway-South,Australia
1127,Corangamite-North,Australia
1128,Corangamite-South,Australia
1129,Corio-Inner,Australia
1130,Darebin-Preston,Australia
1131,Darebin-Northcote,Australia
1132,E.Gippsland-Bairnsdale,Australia
1133,E.Gippsland-Orbost,Australia
1134,E.Gippsland-South-West,Australia
1135,E.GippslandBal,Australia
1136,FallsCreekAlpineResort,Australia
1137,Frankston-East,Australia
1138,Frankston-West,Australia
1139,FrenchIsland,Australia
1140,Gannawarra,Australia
1141,Geelong,Australia
1142,GeelongWest,Australia
1143,GlenEira-Caulfield,Australia
1144,GlenEira-South,Australia
1145,Glenelg-Heywood,Australia
1146,Glenelg-North,Australia
1147,Glenelg-Portland,Australia
1148,GoldenPlains-North-West,Australia
1149,GoldenPlains-South-East,Australia
1150,Gr.Bendigo-Central,Australia
1151,Gr.Bendigo-Eaglehawk,Australia
1152,Gr.Bendigo-InnerEast,Australia
1153,Gr.Bendigo-InnerNorth,Australia
1154,Gr.Bendigo-InnerWest,Australia
1155,Gr.Bendigo-PtB,Australia
1156,Gr.Bendigo-S'saye,Australia
1157,Gr.Dandenong-Dandenong,Australia
1158,Gr.DandenongBal,Australia
1159,Gr.Shepparton-PtA,Australia
1160,Gr.Shepparton-PtBEast,Australia
1161,Gr.Shepparton-PtBWest,Australia
1162,GreaterGeelong-PtB,Australia
1163,GreaterGeelong-PtC,Australia
1164,Hepburn-East,Australia
1165,Hepburn-West,Australia
1166,Hindmarsh,Australia
1167,HobsonsBay-Altona,Australia
1168,HobsonsBay-Williamstown,Australia
1169,Horsham-Central,Australia
1170,HorshamBal,Australia
1171,Hume-Broadmeadows,Australia
1172,Hume-Craigieburn,Australia
1173,Hume-Sunbury,Australia
1174,Indigo-PtA,Australia
1175,Indigo-PtB,Australia
1176,Kingston-North,Australia
1177,Kingston-South,Australia
1178,Knox-North-East,Australia
1179,Knox-North-West,Australia
1180,Knox-South,Australia
1181,LadyJuliaPercyIsland,Australia
1182,LakeMountainAlpineResort,Australia
1183,Latrobe-Moe,Australia
1184,Latrobe-Morwell,Australia
1185,Latrobe-Traralgon,Australia
1186,LatrobeBal,Australia
1187,Loddon-North,Australia
1188,Loddon-South,Australia
1189,MacedonRanges-Kyneton,Australia
1190,MacedonRanges-Romsey,Australia
1191,MacedonRangesBal,Australia
1192,Manningham-East,Australia
1193,Manningham-West,Australia
1194,Mansfield,Australia
1195,Maribyrnong,Australia
1196,Maroondah-Croydon,Australia
1197,Maroondah-Ringwood,Australia
1198,Melbourne-Inner,Australia
1199,Melbourne-Remainder,Australia
1200,Melbourne-S'bank-D'lands,Australia
1201,Melton-East,Australia
1202,MeltonBal,Australia
1203,Mildura-PtA,Australia
1204,Mildura-PtB,Australia
1205,Mitchell-North,Australia
1206,Mitchell-South,Australia
1207,Moira-East,Australia
1208,Moira-West,Australia
1209,Monash-South-West,Australia
1210,Monash-WaverleyEast,Australia
1211,Monash-WaverleyWest,Australia
1212,MooneeValley-Essendon,Australia
1213,MooneeValley-West,Australia
1214,Moorabool-BacchusMarsh,Australia
1215,Moorabool-Ballan,Australia
1216,Moorabool-West,Australia
1217,Moreland-Brunswick,Australia
1218,Moreland-Coburg,Australia
1219,Moreland-North,Australia
1220,MorningtonP'sula-East,Australia
1221,MorningtonP'sula-South,Australia
1222,MorningtonP'sula-West,Australia
1223,MountAlexander-C'maine,Australia
1224,MountAlexanderBal,Australia
1225,MountBawBawAlpineResort,Australia
1226,MountBullerAlpineResort,Australia
1227,MountHothamAlpineResort,Australia
1228,MountStirlingAlpineResort,Australia
1229,Moyne-North-East,Australia
1230,Moyne-North-West,Australia
1231,Moyne-South,Australia
1232,Murrindindi-East,Australia
1233,Murrindindi-West,Australia
1234,N.Grampians-Stawell,Australia
1235,N.Grampians-StArnaud,Australia
1236,Newtown,Australia
1237,Nillumbik-South-West,Australia
1238,Nillumbik-South,Australia
1239,NillumbikBal,Australia
1240,PortPhillip-StKilda,Australia
1241,PortPhillip-West,Australia
1242,Pyrenees-North,Australia
1243,Pyrenees-South,Australia
1244,Queenscliffe,Australia
1245,S.Grampians-Hamilton,Australia
1246,S.Grampians-Wannon,Australia
1247,S.GrampiansBal,Australia
1248,SouthBarwon-Inner,Australia
1249,SouthGippsland-Central,Australia
1250,SouthGippsland-East,Australia
1251,SouthGippsland-West,Australia
1252,Stonnington-Malvern,Australia
1253,Stonnington-Prahran,Australia
1254,Strathbogie,Australia
1255,SurfCoast-East,Australia
1256,SurfCoast-West,Australia
1257,SwanHill-Central,Australia
1258,SwanHill-Robinvale,Australia
1259,SwanHillBal,Australia
1260,Towong-PtA,Australia
1261,Towong-PtB,Australia
1262,Wangaratta-Central,Australia
1263,Wangaratta-North,Australia
1264,Wangaratta-South,Australia
1265,Warrnambool,Australia
1266,Wellington-Alberton,Australia
1267,Wellington-Avon,Australia
1268,Wellington-Maffra,Australia
1269,Wellington-Rosedale,Australia
1270,Wellington-Sale,Australia
1271,WestWimmera,Australia
1272,Whitehorse-NunawadingW.,Australia
1273,Whitehorse-BoxHill,Australia
1274,Whitehorse-NunawadingE.,Australia
1275,Whittlesea-South-East,Australia
1276,Whittlesea-South-West,Australia
1277,Whittlesea-North,Australia
1278,Wodonga,Australia
1279,Wyndham-North,Australia
1280,Wyndham-South,Australia
1281,Wyndham-West,Australia
1282,Yarra-North,Australia
1283,Yarra-Richmond,Australia
1284,YarraRanges-Central,Australia
1285,YarraRanges-Dandenongs,Australia
1286,YarraRanges-Lilydale,Australia
1287,YarraRanges-North,Australia
1288,YarraRanges-PtB,Australia
1289,YarraRanges-Seville,Australia
1290,Yarriambiack-North,Australia
1291,Yarriambiack-South,Australia
1292,Albany,Australia
1293,Armadale,Australia
1294,Ashburton,Australia
1295,Augusta-MargaretRiver,Australia
1296,Bassendean,Australia
1297,Bayswater,Australia
1298,Belmont,Australia
1299,Beverley,Australia
1300,Boddington,Australia
1301,BoyupBrook,Australia
1302,Bridgetown-Greenbushes,Australia
1303,Brookton,Australia
1304,Broome,Australia
1305,Broomehill,Australia
1306,BruceRock,Australia
1307,Bunbury,Australia
1308,Busselton,Australia
1309,Cambridge,Australia
1310,Canning,Australia
1311,Capel,Australia
1312,Carnamah,Australia
1313,Carnarvon,Australia
1314,ChapmanValley,Australia
1315,Chittering,Australia
1316,Claremont,Australia
1317,Cockburn,Australia
1318,Collie,Australia
1319,Coolgardie,Australia
1320,Coorow,Australia
1321,Corrigin,Australia
1322,Cottesloe,Australia
1323,Cranbrook,Australia
1324,Cuballing,Australia
1325,Cue,Australia
1326,Cunderdin,Australia
1327,Dalwallinu,Australia
1328,Dandaragan,Australia
1329,Dardanup,Australia
1330,Denmark,Australia
1331,Derby-WestKimberley,Australia
1332,Donnybrook-Balingup,Australia
1333,Dowerin,Australia
1334,Dumbleyung,Australia
1335,Dundas,Australia
1336,EastFremantle,Australia
1337,EastPilbara,Australia
1338,Esperance,Australia
1339,Exmouth,Australia
1340,Fremantle,Australia
1341,Geraldton,Australia
1342,Gingin,Australia
1343,Gnowangerup,Australia
1344,Goomalling,Australia
1345,Gosnells,Australia
1346,Greenough,Australia
1347,HallsCreek,Australia
1348,Harvey,Australia
1349,Irwin,Australia
1350,Jerramungup,Australia
1351,Joondalup,Australia
1352,Kalamunda,Australia
1353,Kalgoorlie/Boulder,Australia
1354,Katanning,Australia
1355,Kellerberrin,Australia
1356,Kent,Australia
1357,Kojonup,Australia
1358,Kondinin,Australia
1359,Koorda,Australia
1360,Kulin,Australia
1361,MosmanPark,Australia
1362,MountMagnet,Australia
1363,MountMarshall,Australia
1364,Mukinbudin,Australia
1365,Mullewa,Australia
1366,Mundaring,Australia
1367,Murchison,Australia
1368,Murray,Australia
1369,n.a.3,Australia
1370,Nannup,Australia
1371,Narembeen,Australia
1372,Narrogin,Australia
1373,Nedlands,Australia
1374,Toodyay,Australia
1375,Trayning,Australia
1376,UpperGascoyne,Australia
1377,VictoriaPark,Australia
1378,VictoriaPlains,Australia
1379,Vincent,Australia
1380,Wagin,Australia
1381,Wandering,Australia
1382,Wanneroo,Australia
1383,Waroona,Australia
1384,WestArthur,Australia
1385,Westonia,Australia
1386,Wickepin,Australia
1387,Williams,Australia
1388,Wiluna,Australia
1389,Wongan-Ballidu,Australia
1390,Woodanilling,Australia
1391,Wyalkatchem,Australia
1392,Wyndham-EastKimberley,Australia
1393,Yalgoo,Australia
1394,Yilgarn,Australia
1395,York,Australia
