id,cname,continent
248,Kogarah,Australia
249,Ku-ring-gai,Australia
250,Kyogle,Australia
251,Lachlan,Australia
252,LakeMacquarie-North,Australia
253,LakeMacquarie-East,Australia
254,LakeMacquarie-West,Australia
255,LaneCove,Australia
256,Leeton,Australia
257,Leichhardt,Australia
258,Lismore-PtA,Australia
259,Lismore-PtB,Australia
260,Lithgow,Australia
261,Liverpool-East,Australia
262,Liverpool-West,Australia
263,LiverpoolPlains,Australia
264,Lockhart,Australia
265,LordHoweIsland,Australia
266,Maitland,Australia
267,Manly,Australia
268,Marrickville,Australia
269,Mid-WesternRegional-PtA,Australia
270,Mid-WesternRegional-PtB,Australia
271,MoreePlains,Australia
272,Mosman,Australia
273,Murray,Australia
274,Murrumbidgee,Australia
275,Muswellbrook,Australia
276,Nambucca,Australia
277,Narrabri,Australia
278,Narrandera,Australia
279,Narromine,Australia
280,Newcastle-InnerCity,Australia
281,Newcastle-OuterWest,Australia
282,Newcastle-Throsby,Australia
283,NorthSydney,Australia
284,Oberon,Australia
285,Orange,Australia
286,Palerang-PtA,Australia
287,Palerang-PtB,Australia
288,Parkes,Australia
289,Parramatta-Inner,Australia
290,Parramatta-North-East,Australia
291,RichmondValley-Casino,Australia
292,RichmondValleyBal,Australia
293,Rockdale,Australia
294,Ryde,Australia
295,Shellharbour,Australia
296,Shoalhaven-PtA,Australia
297,Shoalhaven-PtB,Australia
298,Singleton,Australia
299,SnowyRiver,Australia
300,Strathfield,Australia
301,Wakool,Australia
302,Walcha,Australia
303,Walgett,Australia
304,Warren,Australia
305,Warringah,Australia
306,WarrumbungleShire,Australia
307,Waverley,Australia
308,Weddin,Australia
309,Wellington,Australia
310,Wentworth,Australia
311,Willoughby,Australia
312,Wingecarribee,Australia
313,Wollondilly,Australia
314,Wollongong-Inner,Australia
315,WollongongBal,Australia
316,Woollahra,Australia
317,Wyong-North-East,Australia
318,Wyong-SouthandWest,Australia
319,YassValley,Australia
320,Young,Australia
321,Alawa,Australia
322,AliceSprings-Larapinta,Australia
323,AliceSprings-Charles,Australia
324,AliceSprings-Heavitree,Australia
325,AliceSprings-Ross,Australia
326,AliceSprings-Stuart,Australia
327,Alpurrurulam,Australia
328,Angurugu,Australia
329,Anmatjere,Australia
330,Anula,Australia
331,Arltarlpilta,Australia
332,Bakewell,Australia
333,Bayview-Woolner,Australia
334,Belyuen,Australia
335,Binjari,Australia
336,Borroloola,Australia
337,Brinkin,Australia
338,City-Inner,Australia
339,City-Remainder,Australia
340,CoconutGrove,Australia
341,Coomalie,Australia
342,CoxPeninsula,Australia
343,Cox-Finniss,Australia
344,Daguragu,Australia
345,Daly,Australia
346,Driver,Australia
347,Durack,Australia
348,EastArm,Australia
349,EastArnhem-Bal,Australia
350,ElliottDistrict,Australia
351,Elsey,Australia
352,FannieBay,Australia
353,Gray,Australia
354,GrooteEylandt,Australia
355,Gulf,Australia
356,Gunn-Palmerston,Australia
357,Hanson,Australia
358,Jabiru,Australia
359,Jilkminggan,Australia
360,Jingili,Australia
361,Karama,Australia
362,Katherine,Australia
363,Kunbarllanjnja,Australia
364,Lajamanu,Australia
365,Larrakeyah,Australia
366,Leanyer,Australia
367,LeePoint-LeanyerSwamp,Australia
368,Litchfield-PtA,Australia
369,Litchfield-PtB,Australia
370,LtyentyePurte,Australia
371,Ludmilla,Australia
372,Malak,Australia
373,Marngarr,Australia
374,Marrara,Australia
375,Mataranka,Australia
376,Millner,Australia
377,Moil,Australia
378,Moulden,Australia
379,Nakara,Australia
380,Narrows,Australia
381,NauiyuNambiyu,Australia
382,Nhulunbuy,Australia
383,Nightcliff,Australia
384,Numbulwar/Numburindi,Australia
385,NyirranggulungMardrulkNgadberre,Australia
386,Palmerston,Australia
387,Parap,Australia
388,Petermann-Simpson,Australia
389,PineCreek,Australia
390,RapidCreek,Australia
391,Sandover,Australia
392,SouthAlligator,Australia
393,StuartPark,Australia
394,Tableland,Australia
395,Tanami,Australia
396,Tapatijatjaka,Australia
397,TennantCreek,Australia
398,TennantCreek-Bal,Australia
399,Thamarrurr,Australia
400,TheGardens,Australia
401,TimberCreek,Australia
402,Tiwi,Australia
403,TiwiIslands,Australia
404,Victoria,Australia
405,Wagaman,Australia
406,Walingeri-Ngumpinku,Australia
407,WallaceRockhole,Australia
408,Wanguri,Australia
409,Watiyawanu,Australia
410,WestArnhem,Australia
411,Winnellie,Australia
412,Woodroffe,Australia
413,Wulagi,Australia
414,Yuendumu,Australia
415,YugalMangi,Australia
416,AcaciaRidge,Australia
417,Aitkenvale,Australia
418,AlbanyCreek,Australia
419,Albion,Australia
420,Alderley,Australia
421,AlexandraHills,Australia
422,Algester,Australia
423,Annerley,Australia
424,Anstead,Australia
425,Aramac,Australia
426,Archerfield,Australia
427,Ascot,Australia
428,Ashgrove,Australia
429,Ashmore-Benowa,Australia
430,Aspley,Australia
431,Atherton,Australia
432,Aurukun,Australia
433,Badu,Australia
434,BaldHills,Australia
435,Balmoral,Australia
436,Balonne,Australia
437,Bamaga,Australia
438,Banana,Australia
439,Banyo,Australia
